2025-03-06 01:51:36.697 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-03-06 01:51:36.697 [info] Added views:workbench.panel.output in workbench.panel.output
2025-03-06 01:51:36.697 [info] Added views:terminal in terminal
2025-03-06 01:51:36.697 [info] Added views:outline in workbench.view.explorer
2025-03-06 01:51:36.697 [info] Added views:workbench.scm in workbench.view.scm
2025-03-06 01:51:36.697 [info] Added views:workbench.view.search in workbench.view.search
2025-03-06 01:51:36.697 [info] Added views:timeline in workbench.view.explorer
2025-03-06 01:51:36.697 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2025-03-06 01:51:37.143 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-06 01:51:37.340 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-03-06 01:51:37.656 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-03-06 01:51:39.223 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-03-06 01:51:39.227 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2025-03-06 01:51:39.501 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2025-03-06 01:51:42.830 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-03-06 01:51:42.846 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-03-06 01:51:54.244 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-03-06 01:51:54.274 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-03-06 01:51:56.238 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-03-06 01:51:56.252 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-03-06 01:51:56.669 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-03-06 01:51:56.701 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-03-06 01:51:58.985 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-03-06 01:51:59.005 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-03-05 20:22:44.741 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-03-05 20:22:44.771 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-03-05 20:22:46.648 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-03-05 20:22:46.665 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-03-05 20:22:55.349 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-03-05 20:22:55.382 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-03-05 20:22:56.855 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-03-05 20:22:56.879 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
